SID,Nombre,Latitud,Longitud,Elevacion,geometry
515,Recoleta,-30.490916666999997,-71.165777778,405.0,POINT (-71.16577777800001 -30.490916667)
383,Lago Paine,-50.8378,-72.8319,440.0,POINT (-72.8319 -50.8378)
434,Río Robalo en Puerto Williams,-54.9469,-67.6392,64.0,POINT (-67.6392 -54.9469)
529,Combarbalá,-31.188333333000003,-70.998888889,938.0,POINT (-70.998888889 -31.188333333)
115,Aconcagua Romeral,-32.8403,-71.0256,362.0,POINT (-71.0256 -32.8403)
747,San Nicolás,-36.517777778,-72.09444444399999,128.0,POINT (-72.09444444399999 -36.517777778)
238,Claro Rauquen,-35.4525,-71.7333,73.0,POINT (-71.7333 -35.4525)
664,San Pedro,-33.891388889,-71.394166667,218.0,POINT (-71.39416666699999 -33.891388889)
217,Perquilauquen San Manuel,-36.3758,-71.6233,279.0,POINT (-71.6233 -36.3758)
625,Chile Chico,-46.543241833,-71.699297833,213.0,POINT (-71.699297833 -46.543241833)
1137,Pisco Elqui,-30.12903,-70.49471,1239.0,POINT (-70.49471 -30.12903)
426,Río Caleta en Tierra Del Fuego,-53.8586,-69.9989,263.0,POINT (-69.99890000000001 -53.8586)
114,Putaendo Rdo. Los Patos,-32.5017,-70.5811,1193.0,POINT (-70.58110000000001 -32.5017)
683,La Estrella Sur Ex Pumanque,-34.213333333,-71.716111111,288.0,POINT (-71.716111111 -34.213333333)
232,Loncomilla Brisas,-35.6169,-71.7678,79.0,POINT (-71.76779999999999 -35.6169)
17,Q. Camiña 3 Km. A. Arriba de Tarcavire,-19.1181,-69.2447,3856.0,POINT (-69.24469999999999 -19.1181)
257,Embalse Ralco,-38.0583,-71.4344,757.0,POINT (-71.4344 -38.0583)
654,El Monte,-33.691944444,-71.100833333,221.0,POINT (-71.100833333 -33.691944444)
698,Chépica,-34.738611111,-71.258055556,207.0,POINT (-71.258055556 -34.738611111)
430,Río Grande en Tierra Del Fuego,-53.8928,-68.8844,99.0,POINT (-68.8844 -53.8928)
387,Las Chinas en Cerro Guido,-51.0508,-72.5169,78.0,POINT (-72.51690000000001 -51.0508)
300,Cholchol en Cholchol,-38.6081,-72.8478,22.0,POINT (-72.84780000000001 -38.6081)
848,Lontue,-35.049722222,-71.248055556,233.0,POINT (-71.248055556 -35.049722222)
368,Río Colonia en Nacimiento,-47.3392,-73.1147,145.0,POINT (-73.1147 -47.3392)
616,Catemu,-32.757777778000005,-70.942777778,451.0,POINT (-70.94277777800001 -32.757777778)
230,Ancoa El Morro,-35.9086,-71.2981,424.0,POINT (-71.29810000000001 -35.9086)
415,Bitsch Alto,-53.0919,-71.0025,331.0,POINT (-71.0025 -53.0919)
682,Graneros Norte,-34.061944444,-70.705,498.0,POINT (-70.705 -34.061944444)
939,Mapocho Los Almendros,-33.3703,-70.4508,994.0,POINT (-70.4508 -33.3703)
29,Salado S. Ayquina,-22.2894,-68.3447,2949.0,POINT (-68.3447 -22.2894)
188,Río Mataquito en Licanten,-34.9844,-72.01,16.0,POINT (-72.01000000000001 -34.9844)
254,Bío Bío Llanquén,-38.2008,-71.2989,742.0,POINT (-71.2989 -38.2008)
292,BioBio Desembocadura,-36.8386,-73.0619,7.0,POINT (-73.06189999999999 -36.8386)
597,SAN ESTEBAN,-32.750444444,-70.557583333,955.0,POINT (-70.557583333 -32.750444444)
828,Alto del Carmen,-28.768166667,-70.449222222,824.0,POINT (-70.449222222 -28.768166667)
405,San Gregorio,-52.5664,-70.0706,11.0,POINT (-70.0706 -52.5664)
716,Los Maquis,-34.499722221999995,-70.83972222199999,476.0,POINT (-70.83972222199999 -34.499722222)
618,Rinconada,-32.837055555999996,-70.692527778,723.0,POINT (-70.692527778 -32.837055556)
327,Río Rahue en Desague Lago Rupanco,-40.7889,-72.6889,126.0,POINT (-72.6889 -40.7889)
366,Baker en Angostura Chacabuco,-47.1414,-72.7258,144.0,POINT (-72.72580000000001 -47.1414)
271,Río Biobio en Coihue,-37.5503,-72.5903,62.0,POINT (-72.5903 -37.5503)
206,Maule en Armerillo,-35.7061,-71.1139,483.0,POINT (-71.1139 -35.7061)
741,Los Angeles,-37.447222222,-72.517222222,104.0,POINT (-72.517222222 -37.447222222)
888,Sauzal,-35.714878999999996,-72.111307833,156.0,POINT (-72.111307833 -35.714879)
638,Til til,-33.121333333,-70.834777778,552.0,POINT (-70.834777778 -33.121333333)
